2026-03-24 13:24:06 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.985 (threshold=0.8)
2026-03-24 13:24:06 | INFO     | clickbot.vision | Element found: 1040/02_efile_center.png at (813, 375) confidence=0.985
2026-03-24 13:24:06 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\submit_electronic_filing.png ((24, 251, 3))
2026-03-24 13:24:07 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:07 | INFO     | clickbot.vision | Element found: common/submit_electronic_filing.png at (814, 376) confidence=1.000
2026-03-24 13:24:07 | INFO     | clickbot.executor | Click at (814, 376)
2026-03-24 13:24:07 | DEBUG    | clickbot.executor | Click completed, waited 0s
2026-03-24 13:24:07 | INFO     | clickbot.process_executor |   -> Verifying: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify/1040/03_file_extension.png (timeout=10.0s, attempt 1/3)
2026-03-24 13:24:07 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\03_file_extension.png ((26, 115, 3))
2026-03-24 13:24:07 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.552 (threshold=0.8)
2026-03-24 13:24:07 | ERROR    | clickbot.vision | Element not found: 1040/03_file_extension.png (max confidence: 0.552)
2026-03-24 13:24:07 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\03_file_extension.png ((26, 115, 3))
2026-03-24 13:24:08 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=0.518 (threshold=0.8)
2026-03-24 13:24:08 | ERROR    | clickbot.vision | Element not found: 1040/03_file_extension.png (max confidence: 0.518)
2026-03-24 13:24:08 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\03_file_extension.png ((26, 115, 3))
2026-03-24 13:24:08 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:08 | INFO     | clickbot.vision | Element found: 1040/03_file_extension.png at (570, 544) confidence=1.000
2026-03-24 13:24:08 | DEBUG    | clickbot.vision | wait_for_element: found 1040/03_file_extension.png after 3 polls
2026-03-24 13:24:08 | INFO     | clickbot.process_executor |   -> Screen verified: 1040/03_file_extension.png
2026-03-24 13:24:08 | INFO     | clickbot.process_executor | [1040] Step  3/19 | select_file_extension_and_continue  | Check File Extension (if unchecked), click Continue, handle locked_2 popup if present
2026-03-24 13:24:08 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\assets\verify\1040\03_file_extension.png ((26, 115, 3))
2026-03-24 13:24:09 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:09 | INFO     | clickbot.vision | Element found: 1040/03_file_extension.png at (570, 544) confidence=1.000
2026-03-24 13:24:09 | DEBUG    | clickbot.process_executor |   -> Multi sub-action 1/3: conditional
2026-03-24 13:24:09 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\file_extension_option_unchecked.png ((29, 140, 3))
2026-03-24 13:24:09 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:09 | INFO     | clickbot.vision | Element found: common/file_extension_option_unchecked.png at (561, 544) confidence=1.000
2026-03-24 13:24:09 | INFO     | clickbot.process_executor |   -> Condition: common/file_extension_option_unchecked.png visible=True -> if_true
2026-03-24 13:24:09 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\file_extension_option_unchecked.png ((29, 140, 3))
2026-03-24 13:24:09 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:09 | INFO     | clickbot.vision | Element found: common/file_extension_option_unchecked.png at (561, 544) confidence=1.000
2026-03-24 13:24:09 | INFO     | clickbot.executor | Click at (561, 544)
2026-03-24 13:24:09 | DEBUG    | clickbot.executor | Click completed, waited 0s
2026-03-24 13:24:10 | DEBUG    | clickbot.process_executor |   -> Multi sub-action 2/3: click
2026-03-24 13:24:10 | DEBUG    | clickbot.vision | Loaded template: C:\TaxActBot\dist\TaxActBot\_internal\.agents\screenshots\buttons\common\continue_blue.png ((47, 149, 3))
2026-03-24 13:24:10 | DEBUG    | clickbot.vision | Template match attempt 1: confidence=1.000 (threshold=0.8)
2026-03-24 13:24:10 | INFO     | clickbot.vision | Element found: common/continue_blue.png at (1113, 635) confidence=1.000
2026-03-24 13:24:10 | INFO     | clickbot.executor | Click at (1113, 635)
2026-03-24 13:24:10 | DEBUG    | clickbot.executor | Click completed, waited 0s
2026-03-24 13:24:12 | DEBUG    | clickbot.process_executor |   -> Multi sub-action 3/3: conditional
